"NAME","NATIONALITY"
"bonaventura berlinghieri","List_of_Italians"
"pietro cavallini","List_of_Italians"
"cimabue","List_of_Italians"
"coppo di marcovaldo","List_of_Italians"
"bernardo daddi","List_of_Italians"
"duccio","List_of_Italians"
"taddeo gaddi","List_of_Italians"
"giottino","List_of_Italians"
"giotto di bondone","List_of_Italians"
"guido of siena","List_of_Italians"
"ambrogio lorenzetti","List_of_Italians"
"pietro lorenzetti","List_of_Italians"
"simone martini","List_of_Italians"
"lippo memmi","List_of_Italians"
"orcagna","List_of_Italians"
"paolo veneziano","List_of_Italians"
"giunta pisano","List_of_Italians"
"piero da rimini","List_of_Italians"
"jacopo torriti","List_of_Italians"
"mariotto albertinelli","List_of_Italians"
"alessandro allori","List_of_Italians"
"andrea del castagno","List_of_Italians"
"andrea del sarto","List_of_Italians"
"andrea del verrocchio","List_of_Italians"
"sofonisba anguissola","List_of_Italians"
"antonello da messina","List_of_Italians"
"antonio da correggio","List_of_Italians"
"giuseppe arcimboldo","List_of_Italians"
"alesso baldovinetti","List_of_Italians"
"jacopo de' barbari","List_of_Italians"
"federico barocci","List_of_Italians"
"jacopo bassano","List_of_Italians"
"domenico di pace beccafumi","List_of_Italians"
"gentile bellini","List_of_Italians"
"giovanni bellini","List_of_Italians"
"jacopo bellini","List_of_Italians"
"ambrogio bergognone","List_of_Italians"
"boccaccio boccaccino","List_of_Italians"
"giovanni antonio boltraffio","List_of_Italians"
"paris bordone","List_of_Italians"
"sandro botticelli","List_of_Italians"
"francesco botticini","List_of_Italians"
"bramantino","List_of_Italians"
"bronzino","List_of_Italians"
"luca cambiasi","List_of_Italians"
"vittore carpaccio","List_of_Italians"
"cennino cennini","List_of_Italians"
"cigoli","List_of_Italians"
"cima da conegliano","List_of_Italians"
"niccolò antonio colantonio","List_of_Italians"
"francesco del cossa","List_of_Italians"
"lorenzo costa","List_of_Italians"
"carlo crivelli","List_of_Italians"
"daniele da volterra","List_of_Italians"
"ercole de' roberti","List_of_Italians"
"francesco de' rossi","List_of_Italians"
"niccolò dell'abbate","List_of_Italians"
"dosso dossi","List_of_Italians"
"gaudenzio ferrari","List_of_Italians"
"rosso fiorentino","List_of_Italians"
"lavinia fontana","List_of_Italians"
"prospero fontana","List_of_Italians"
"vincenzo foppa","List_of_Italians"
"fra angelico","List_of_Italians"
"fra bartolomeo","List_of_Italians"
"franciabigio","List_of_Italians"
"agnolo gaddi","List_of_Italians"
"fede galizia","List_of_Italians"
"gentile da fabriano","List_of_Italians"
"domenico ghirlandaio","List_of_Italians"
"ridolfo ghirlandaio","List_of_Italians"
"giorgione","List_of_Italians"
"giovanni da udine","List_of_Italians"
"giovanni di paolo","List_of_Italians"
"stefano di giovanni","List_of_Italians"
"benozzo gozzoli","List_of_Italians"
"leonardo da vinci","List_of_Italians"
"filippino lippi","List_of_Italians"
"filippo lippi","List_of_Italians"
"gian paolo lomazzo","List_of_Italians"
"lorenzo di credi","List_of_Italians"
"lorenzo monaco","List_of_Italians"
"lorenzo lotto","List_of_Italians"
"bernardino luini","List_of_Italians"
"andrea mantegna","List_of_Italians"
"masaccio","List_of_Italians"
"masolino da panicale","List_of_Italians"
"melozzo da forlì","List_of_Italians"
"michelangelo","List_of_Italians"
"moretto da brescia","List_of_Italians"
"giovanni battista moroni","List_of_Italians"
"palma giovane","List_of_Italians"
"palma vecchio","List_of_Italians"
"parmigianino","List_of_Italians"
"perino del vaga","List_of_Italians"
